,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,Name,Transported,Spendings
0,0001_01,Europa,0,B/0/P,TRAPPIST-1e,39.0,0,Maham Ofracculy,0,0.0
1,0002_01,Earth,0,F/0/S,TRAPPIST-1e,24.0,0,Juanna Vines,1,736.0
2,0003_01,Europa,0,A/0/S,TRAPPIST-1e,58.0,1,Altark Susent,0,10383.0
3,0003_02,Europa,0,A/0/S,TRAPPIST-1e,33.0,0,Solam Susent,0,5176.0
4,0004_01,Earth,0,F/1/S,TRAPPIST-1e,16.0,0,Willy Santantines,1,1091.0
5,0005_01,Earth,0,F/0/P,PSO J318.5-22,44.0,0,Sandie Hinetthews,1,774.0
6,0006_01,Earth,0,F/2/S,TRAPPIST-1e,26.0,0,Billex Jacostaffey,1,1584.0
7,0006_02,Earth,1,G/0/S,TRAPPIST-1e,28.0,0,Candra Jacostaffey,1,
8,0007_01,Earth,0,F/3/S,TRAPPIST-1e,35.0,0,Andona Beston,1,1018.0
9,0008_01,Europa,1,B/1/P,55 Cancri e,14.0,0,Erraiam Flatic,1,0.0
10,0008_02,Europa,1,B/1/P,TRAPPIST-1e,34.0,0,Altardr Flatic,1,
11,0008_03,Europa,0,B/1/P,55 Cancri e,45.0,0,Wezena Flatic,1,8157.0
12,0009_01,Mars,0,F/1/P,TRAPPIST-1e,32.0,0,Berers Barne,1,1309.0
13,0010_01,Earth,0,G/1/S,TRAPPIST-1e,48.0,0,Reney Baketton,0,809.0
14,0011_01,Earth,0,F/2/P,TRAPPIST-1e,28.0,0,Elle Bertsontry,1,1003.0
15,0012_01,Earth,0,,TRAPPIST-1e,31.0,0,Justie Pooles,0,908.0
16,0014_01,Mars,0,F/3/P,55 Cancri e,27.0,0,Flats Eccle,0,
17,0015_01,Earth,0,F/4/P,55 Cancri e,24.0,0,Carry Hughriend,0,638.0
18,0016_01,Mars,1,F/5/P,TRAPPIST-1e,45.0,0,Alus Upead,1,0.0
19,0017_01,Earth,0,G/0/P,TRAPPIST-1e,0.0,0,Lyde Brighttt,1,0.0
20,0017_02,Earth,0,F/6/P,55 Cancri e,14.0,0,Philda Brighttt,0,1092.0
21,0020_01,Earth,1,E/0/S,TRAPPIST-1e,1.0,0,Almary Brantuarez,0,0.0
22,0020_02,Earth,1,E/0/S,55 Cancri e,49.0,0,Glendy Brantuarez,0,0.0
23,0020_03,Earth,1,E/0/S,55 Cancri e,29.0,0,Mollen Mcfaddennon,0,
24,0020_04,Earth,0,E/0/S,TRAPPIST-1e,10.0,0,Breney Jacostanley,1,0.0
25,0020_05,Earth,1,E/0/S,PSO J318.5-22,1.0,0,Mael Brantuarez,0,
26,0020_06,Earth,0,E/0/S,TRAPPIST-1e,7.0,0,Terta Mcfaddennon,0,0.0
27,0022_01,Mars,0,D/0/P,TRAPPIST-1e,21.0,0,,0,1051.0
28,0024_01,Europa,1,C/2/S,TRAPPIST-1e,62.0,0,Penton Fullided,1,
29,0025_01,Earth,0,F/6/S,TRAPPIST-1e,15.0,0,Karard Brookenson,0,1223.0
30,0026_01,Europa,0,C/0/P,55 Cancri e,34.0,0,Anyoni Unconary,0,7861.0
31,0028_01,Mars,0,F/8/P,TRAPPIST-1e,43.0,0,Ceros Mare,0,1309.0
32,0030_01,Earth,0,G/4/S,TRAPPIST-1e,32.0,0,Ginia Morsentley,0,1821.0
33,0031_01,Mars,0,F/9/P,TRAPPIST-1e,47.0,0,Coobix Datie,1,2854.0
34,0031_02,Mars,0,F/9/P,TRAPPIST-1e,2.0,0,Cinets Datie,1,0.0
35,0031_03,Mars,0,F/9/P,TRAPPIST-1e,20.0,0,Dontch Datie,1,
36,0034_01,Europa,1,D/1/S,55 Cancri e,28.0,0,Ziba Oingwhedly,1,0.0
37,0035_01,Mars,0,D/1/P,55 Cancri e,23.0,0,Luse Butte,0,2699.0
38,0036_01,Earth,0,F/8/S,55 Cancri e,15.0,,Marina Leodger,0,961.0
39,0038_01,Earth,0,F/10/S,55 Cancri e,20.0,0,Loise Wheelez,0,3355.0
40,0039_01,Earth,1,G/1/P,55 Cancri e,30.0,0,Jorgie Batthewitt,0,
41,0041_01,Earth,1,G/2/P,TRAPPIST-1e,17.0,0,Margia Moodsey,1,0.0
42,0043_01,Europa,0,B/3/P,TRAPPIST-1e,45.0,0,Ankalik Cylistrand,0,3575.0
43,0044_01,Earth,1,G/3/P,TRAPPIST-1e,55.0,0,Jodye Coopelandez,0,0.0
44,0044_02,Earth,1,G/3/P,55 Cancri e,4.0,0,Kayne Coopelandez,1,0.0
45,0044_03,Earth,1,G/3/P,PSO J318.5-22,21.0,0,Cassa Coopelandez,1,0.0
46,0045_01,Mars,0,F/10/P,TRAPPIST-1e,21.0,0,Zelowl Chmad,0,1214.0
47,0045_02,Mars,1,F/10/P,,19.0,0,Mass Chmad,1,0.0
48,0050_01,Earth,0,E/1/S,55 Cancri e,35.0,0,Sony Lancis,0,
49,0051_01,Earth,0,E/2/S,TRAPPIST-1e,56.0,0,Vivia Johnshines,0,1618.0
50,0052_01,Earth,0,G/6/S,TRAPPIST-1e,,0,Elaney Hubbarton,0,4689.0
